Name | Approach Category | Definition | Parent(s) | Synonym(s) | Notes
Linear Scripting | Practice (implied by Scripted Testing) | Scripted testing "without any control structure in the test scripts" (Hamburg and Mogyorodi, 2024) | Scripted Testing (Hamburg and Mogyorodi, 2024) | Linear(ly) Scripted Testing? | 
Link Checking (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1) | Approach | Testing "the availability of linked objects" by "identify[ing] all of the linked objects on a page and … attempt[ing] to download them" (Gerrard, 2000b, p. 9) | Test Browsing (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1, p. 9), Automated Testing (2000a, Tab. 2; 2000b, Tab. 1; implied by p. 32), Smoke Testing, Dynamic Testing (2000a, Tab. 2; 2000b, Tab. 1), Post-Deployment Monitoring (2000b, pp. 32-33), Gray-Box Testing? (Patton, 2006, p. 220), Availability Testing, Web Application Testing |  | May have subapproaches for static, dynamic, or form links (Kam, 2008, p. 8)
Link Dependence Transition Relation Testing (Doğan et al., 2014, Tab. 13; OG Peng and Lu, 2011) | Approach |  | Web Application Testing (Doğan et al., 2014, Tab. 13), Hyperlink Testing? |  | 
Load Balancing Testing (implied by Washizaki, 2024, p. 6-5) | Approach |  |  |  | May be done by "us[ing] infrastructure/operations services" early on in the development process (Washizaki, 2024, p. 6-5)
Load Testing | Type (IEEE, 2022, pp. 5, 20, 22; 2017, p. 253; OG IEEE 2013; Hamburg and Mogyorodi, 2024; implied by Firesmith, 2015, p. 54) | Testing "conducted to evaluate the behaviour of a test item under anticipated conditions of varying [or "increasing" (Kam, 2008, p. 45)] load" (IEEE, 2022, p. 5; 2017, p. 253; OG IEEE 2013; similar in Hamburg and Mogyorodi, 2024) | Non-functional Testing (Washizaki, 2024, p. 5-9); Performance Testing (IEEE, 2022, p. 5; Hamburg and Mogyorodi, 2024; implied by IEEE, 2022, p. 22), Performance Efficiency Testing (IEEE, 2017, p. 253; OG IEEE 2013); Capacity Testing (Firesmith, 2015, p. 54) |  | Loads used are "usually between anticipated conditions of low, typical, and peak usage" (IEEE, 2022, p. 5; 2017, p. 253; OG IEEE 2013; Hamburg and Mogyorodi, 2024) which may be different numbers of parallel users or transactions (Kam, 2008, p. 45); this may be aided by load generation and/or management (see Hamburg and Mogyorodi, 2024). Patton defines this as running the software with as large of a load as possible (2006, p. 86), and Washizaki (2024, p. 5-9) seems to imply something similar; going past this "limit" is the realm of "stress testing" (Washizaki, 2024, p. 5-9). Seeks to "discover problems … or reliability, stability, or robustness violations" (Washizaki, 2024, p. 5-9). Good to use if the software may have "a large number of concurrent users" (IEEE, 2022, p. 45). Captured as part of "object load and timing" by Gerrard (2000a, Tab. 2; 2000b, Tab. 1). See ISO 29119-1
Local Testing (Firesmith, 2015, p. 42; Jard et al., 1999) | Practice? |  | Synchronous Testing (implied by Jard et al., 1999) |  | 
Localization Testing | Type (IEEE, 2022, p. 22) | Testing "a national or specific regional version of a product" (IEEE, 2017, p. 253; OG ISO/IEC 2008) to ensure "that all user messages, prompts and output is [sic] translated correctly and that the functionality delivered to the end user is identical" (Gerrard, 2000b, p. 19) | Manual Testing (often), Web Application Testing (can be) (Gerrard, 2000b, p. 19) |  | Related to internationalization testing, but can be done "separately from the translation process" (IEEE, 2017, p. 254)
Loop Testing (Gerrard, 2000a, Fig. 5) | Technique? | Path testing that focuses on paths containing loops (inferred from Godefroid and Luchaup, 2011, p. 23), "including nested loops, loops with multiple guards, and arbitrary control-flow graphs with unstructured loops and go-tos" (Godefroid and Luchaup, 2011, p. 24) | Structure-based Testing (Sharma et al., 2021, Fig. 1), Dynamic Testing, W-Model Testing (Gerrard, 2000a, Fig. 5), Control Flow Testing? (implied by Godefroid and Luchaup, 2011, p. 24) Performance Testing? (implied by Dhok and Ramanathan, 2016), Unit Testing? (implied by Gerrard, 2000a, Fig. 5) |  | Difficult to automate due to "virtual call resolution", reachability conditions, and order-sensitivity (Dhok and Ramanathan, 2016, p. 896). Can be supported by random testing (Dhok and Ramanathan, 2016, p. 896), including fuzz testing (Godefroid and Luchaup, 2011, p. 23), symbolic execution (pp. 23-24, 32), equivalence partitioning (p. 24), and/or the use of loop assertions (p. 23)
Loopback Testing | Practice? | "Testing in which signals or data from a test device are input to a system or component, and results are returned to the test device for measurement or comparison" (IEEE, 2017, p. 257) |  |  | Related to "mechanism loopback" (IEEE, 2017, p. 270)?
Low-Level Testing | Approach | Testing "with abstract preconditions, input data, expected results, postconditions, and actions (where applicable)" (Hamburg and Mogyorodi, 2024) |  |  | OG definition was about test cases, not a test approach
Machine Learning-Assisted Testing (implied by Moghadam, 2019) | Practice? |  |  |  | 
Maintainability Testing | Type (IEEE, 2022, pp. 5, 22; implied by its quality) | Testing "conducted to evaluate the degree of effectiveness and efficiency with which a test item may be modified" (IEEE, 2022, p. 5; similar in ISO/IEC, 2023a) "by the intended maintainers" (Hamburg and Mogyorodi, 2024), including through "corrections, improvements or adaptation of the product to changes in environment, and in requirements and functional specifications", as well as the "installation of updates and upgrades" (ISO/IEC, 2023a) |  | Serviceability Testing (Kam, 2008, p. 47) | Six categories: corrective, preventive, adaptive, additive, perfective, and emergency (Washizaki, 2024, p. 7-4; "emergency" added in ISO/IEC/IEEE 14764 and mentioned in IEEE, 2017, p. 156); these may be sub-approaches
Maintenance Testing | Approach | "Testing the changes to an operational system or the impact of a changed environment to an operational system" (Hamburg and Mogyorodi, 2024) | Change-Related Testing?, Operational (Acceptance) Testing? |  | Related to portability testing and/or retesting?
Malware Scanning | Approach | The "detect[ion] and remov[al of] malicious code received at an interface" (Hamburg and Mogyorodi, 2024) | Static Analysis (Hamburg and Mogyorodi, 2024), Interface Testing (Hamburg and Mogyorodi, 2024)? |  | 
Manual Procedure Testing | Technique? |  | Specification-based Testing (Firesmith, 2015, p. 47), Manual Testing |  | 
Manual Testing | Practice (IEEE, 2022, p. 22) | "Humans performing tests by entering information into a test item and verifying the results" (IEEE, 2022, p. 6) | Scripted Testing (IEEE, 2022, p. 33) |  | "Inefficient, error prone and non-scalable" (Washizaki, 2024, p. 6-5)
Markov Chain Testing (implied by Kam, 2008, Tab. 1) | Approach | Testing performed using a Markov chain where transition probabilities are determined by "web usage model[s] … represent[ing] the possible navigation of the web application" or are "uniformly distributed" "if there is no usage information available" (Kam, 2008, p. 22) to find broken links, measure reliability, and evaluate system performance and mean time to failure (p. 23) | Web Application Testing (Kam, 2008, Tab. 1, p. 21; OG [6, 7, 14, 15, 19, 43]), Statistical Testing (Kam, 2008, Tab. 1, pp. 21-22), Specification-based Testing (usually), Non-functional Testing (Tab. 1), Usage-based Testing (p. 22), Reliability Testing, Performance Testing, Maintainenanve Tesitng, Correctness Testing (can be; p. 23) |  | Is this only applicable in the context of web application testing? My instinct says "no"
Mathematical-based Testing | Practice (IEEE, 2022, pp. 22, 36) | Testing based on "the test item's required behaviour, input space or output space" when they "can be described in sufficient detail" (IEEE, 2022, p. 36) | Automatic Testing (usually) (IEEE, 2022, p. 36) |  | Related to computation error testing from Patton (2006, p. 101)? See also ISO/IEC/IEEE 29119-4
MC/DC Testing | Technique (IEEE, 2022, p. 6; 2021, p. 4, Fig. 2; Washizaki, 2024, p. 5-13; Hamburg and Mogyorodi, 2024) | Testing "based on demonstrating that a single Boolean condition within a decision can independently affect the outcome of the decision" (IEEE, 2022, p. 6; 2021, p. 4; similar in Hamburg and Mogyorodi, 2024) | Structure-based Testing (IEEE, 2022, pp. 6, 22; 2021, Fig. 2, Hamburg and Mogyorodi, 2024), Control Flow Testing (Washizaki, 2024, p. 5-13), Condition Testing? (Kam, 2008, p. 43), Multiple Condition Testing? (Kam, 2008, p. 45) | Sometimes spelled without slash (IEEE; 2021, p. 4), Modified Condition Decision Testing (IEEE, 2022, p. 6; 2021, p. 4; Washizaki, 2024, p. 5-13; with slash in Hamburg and Mogyorodi, 2024), Condition Determination Testing, Modified Multiple Condition Testing (Hamburg and Mogyorodi, 2024) | 
Metamorphic Testing | Technique (IEEE, 2022, pp. 6, 22; 2021, p. 4, Fig. 2; Washizaki, 2024, p. 5-15; Hamburg and Mogyorodi, 2024) | Testing "based on generating test cases based on existing test cases and metamorphic relations" (IEEE, 2022, p. 6; 2021, p. 4; similar in Hamburg and Mogyorodi, 2024) | Specification-based Testing (IEEE, 2022, pp. 6, 22; 2021, p. 4, Fig. 2), Mutation Testing (Washizaki, 2024, p. 5-15) | MT (Hamburg and Mogyorodi, 2024) | Test cases that pass and are "used as the basis of follow-up test cases" are called "source test cases" (Hamburg and Mogyorodi, 2024). Good to use when it is "difficult to calculate expected results" (IEEE, 2022, p. 45). See also Kanewala and Yueh Chen, 2019
Method Testing (implied by Doğan et al., 2014, Tab. 11) | Technique (inferred from structure-based testing) |  | Structured-based Testing (implied by Doğan et al., 2014, Tab. 11), Control Flow Testing? |  | Difference between this and method testing?
Minimized Testing? | Technique? | Testing where "the minimum number of test cases is derived to cover each … [test coverage item, such as option or mutation for syntax testing (IEEE, 2021, p. 15) or equivalence partition] at least once" (p. 11; OG BS 7925-2; Myers 1979; similar on p. 15)  |  |  | "Can lead to such unrealistic test inputs that it can be unlikely that the test item will fail to identify the test input as invalid", especially for mutations in syntax testing (IEEE, 2021, p. 15)
Mixed Entry Table Testing | Technique (inferred from decision table testing) | Testing "based on exercising decision rules" (IEEE, 2022, p. 4) in a mixed entry table (IEEE, 2017, p. 278; OG ISO, 1984) | Decision Table Testing (IEEE, 2017, p. 278; OG ISO, 1984) |  | 
ML Model Testing | Level? (Hamburg and Mogyorodi, 2024) | Testing "that focuses on the ability of an ML model to meet required ML functional performance criteria and non-functional criteria" (Hamburg and Mogyorodi, 2024) | Domain-Specific Testing? |  | "ML functional performance" is defined in terms of "the functional correctness of an ML system" (Hamburg and Mogyorodi, 2024), which is ambiguous and/or incorrect
(Flash) Mob Testing (Firesmith, 2015, pp. 36, 58) | Type (implied by Firesmith, 2015, p. 58) |  | Usability Testing (Firesmith, 2015, p. 58), Group Testing (p. 36) |  | 
Mobile Testing | Type (implied by Firesmith, 2015, p. 53) |  | Compatibility Testing (Firesmith, 2015, p. 53) |  | 
Model Verification | Approach |  | Static Testing (IEEE, 2022, p. 17) |  | 
Model-based Testing | Practice (IEEE, 2022, p. 22; 2021, p. viii), Technique (Kam, 2008, p. 4; implied by IEEE, 2021, p. 7; 2017, p. 469) | Testing that uses "formal or semi-formal representations of the required behaviour of a … [test] item" to "generate test cases systematically and automatically" at "various levels of abstraction" (IEEE, 2022, p. 32) | Mathematical-based Testing (IEEE, 2022, p. 36), Automated Testing (Firesmith, 2015, p. 44), (with its sub-techniques) Web Application Testing (Doğan et al., 2014, Tabs. 8, 22) | MBT (IEEE, 2022, p. 32; Hamburg and Mogyorodi, 2024) | Models "vary in the degree of model formality" (such as Agile, semiformal, and formal models) (Washizaki, 2024, p. 1-14). Good potential for automation/generation! See also Souza et al., 2017 (term used on p. 3) and Engström and Petersen, 2015
Monkey Testing | Technique (Washizaki, 2024, p. 5-14) | Testing using "randomly generated test cases to cause the program to stop" (Washizaki, 2024, p. 5-14) | Ad Hoc Testing (Washizaki, 2024, p. 5-14), Unscripted Testing (Firesmith, 2015, p. 45), Random Testing (Firesmith, 2015, p. 51), Fuzz Testing? |  | Related to fuzz testing?
Multiplayer Testing | Approach | "Testing to determine if many players can simultaneously interact with the … game world, … computer-controlled opponents, game servers, and … each other, [sic] as expected according to the game design" (Hamburg and Mogyorodi, 2024) | Multi-User Testing |  | OG definition mentioned the "casino game world", but this can be generalized
Multiple Condition Testing | Technique (Kam, 2008, p. 46; inferred from MC/DC testing) | Testing "in which test cases are designed to execute combinations of single condition outcomes (within one statement)" (Kam, 2008, p. 46) | Structure-based Testing (Kam, 2008, p. 46) |  | 
Multiple-Hit Decision Table Testing | Technique (inferred from decision table testing) | Testing "based on exercising decision rules" (IEEE, 2022, p. 4) in a multiple-hit decision table (IEEE, 2017, p. 285; OG ISO, 1984) | Decision Table Testing (IEEE, 2017, p. 285; OG ISO, 1984) |  | 
Multi-User Testing (Gerrard, 2000a, Fig. 5) | Approach |  | Dynamic Testing, W-Model Testing (Gerrard, 2000a, Fig. 5) |  | 
Mutation Testing | Technique (Washizaki, 2024, p. 5-15); Methodology (IEEE, 2017, p. 286) | Testing where "test cases are randomly generated … or … specifically designed" to detect "slightly modified version[s] of the SUT" called "mutants" (Washizaki, 2024, p. 5-15) or "program mutations" (IEEE, 2017, p. 286) | Structure-based Testing (Washizaki, 2024, p. 5-15), Fault-based Testing (Bourque and Fairley, 2014, p. 4-9), Web Application Testing (Doğan et al., 2014, p. 181, Tabs. 8, 22) | Fault Feeding (Doğan et al., 2014, p. 181) | Assumes that "that more complex but real faults will be found by looking for simple syntactic faults" and requires "many mutants … [to] be automatically generated and executed systematically"; can be used to assist fuzz and metamorphic testing (Washizaki, 2024, p. 5-15)
Needs-Driven Testing | Approach | Testing that "tests why" the "system meets stakeholder needs"? (Firesmith, 2015, p. 33) |  |  | 
Negative Testing | Approach, Technique? (IEEE, 2021, p. 10) | "Testing a component or system in a way for which it was not intended to be used" (Hamburg and Mogyorodi, 2024), such as for functionality "not included in the specification" or "inputs … that should either be ignored … or cause … an error message" (IEEE, 2021, p. 11), using "at least one input value that the test item should reject as incorrect, ideally with an appropriate error message" (p. 10). "The application of boundary value concepts to scenario testing"? (IEEE, 2022, p. 40) | Experience-based Testing (implied by IEEE, 2021, p. 11), Security Testing? (Washizaki, 2024, p. 5-9), Forcing Exception Testing? (Washizaki, 2024, p. 5-13), Boundary Value Analysis?, Scenario-based Testing? (IEEE, 2022, p. 40), Robustness Testing? | Invalid Testing (Hamburg and Mogyorodi, 2024; implied by IEEE, 2021, p. 10), Dirty Testing (Hamburg and Mogyorodi, 2024) | "Negative test cases can be derived from the state and event combinations that do not appear" in state models (Washizaki, 2024, p. 1-20)
Neighborhood Integration Testing | Level (inferred from integration testing) | "Integration testing … [based on] the nodes that connect to a given node" (Hamburg and Mogyorodi, 2024) | Integration Testing (Hamburg and Mogyorodi, 2024) |  | What does "node" mean in this context?
Network Admin Testing (Firesmith, 2015, p. 39) | Practice? |  | Operator Testing (Firesmith, 2015, p. 39) |  | 
Network Traffic Testing (Firesmith, 2015, p. 24) | Approach |  | Data Center Testing (Firesmith, 2015, p. 24), Network Admin Testing? |  | 
Neuron Coverage (Testing)? | Approach | Testing based on "the coverage of activated neurons in the neural network for a set of tests" (Hamburg and Mogyorodi, 2024) | ML Model Testing (implied by Hamburg and Mogyorodi, 2024) |  | 
Non-functional Testing (Washizaki, 2024, p. 5-8) | Approach | Testing that "targets the validation of non-functional aspects (such as performance, [security,] usability, or reliability)" (Washizaki, 2024, p. 5-8; IEEE, 2022, p. 21; similar in Hamburg and Mogyorodi, 2024) that tend to "constrain the technologies to be used in the implementation" (Washizaki, 2024, p. 1-4) | Requirements-based Testing (Kam, 2008, p. 47), Dynamic Testing (although this seems over-zealous), W-Model Testing (Gerrard, 2000a, p. 9) |  | Hundreds of subapproaches that can be "performed at all test levels" (Washizaki, 2024, p. 5-8). "Nonfunctional requirements" are also called "performance attributes" (IEEE, 2017, p. 293); what does this imply for the relationship between non-functional and performance testing? In constrast to functional testing (IEEE, 2022, p. 21)
N-Switch Testing | Technique (inferred from state transition testing and IEEE, 2021, p. 20) | Testing "derived to cover valid sequences of N + 1 transitions in the state model" (IEEE, 2021, p. 20) | State Transition Testing (IEEE, 2021, p. 20; Kam, 2008, p. 46) | Multiple Transitions Testing (implied by IEEE, 2021, p. 20) | See Chow, 1978
Object-based Testing | Approach |  | Web Application Testing, Object-Oriented Testing, Structure-based Testing, Data Flow Testing, Functional Testing (Kam, 2008, Tab. 1) |  | 
Object-Oriented Testing (Doğan et al., 2014, Tab. 1) | Practice? |  |  |  | See Binder (1996)
Offline MBT | Approach (Hamburg and Mogyorodi, 2024) | "Model-based test[ing] … whereby test cases are generated into a repository for future execution" (Hamburg and Mogyorodi, 2024) | Offline Testing, Model-based Testing (Hamburg and Mogyorodi, 2024) |  | 
Offline Testing | Practice? | Testing "in an environment without external interaction" (Washizaki, 2024, p. 5-6), or testing "whereby test cases are generated into a repository for future execution" (Hamburg and Mogyorodi, 2024) |  |  | Sometimes spelled with a hyphen ("off-line"; Washizaki, 2024, p. 5-6)
One-to-One Testing? | Technique? | Testing where "each test case is derived to exercise a specific" test coverage item, such as an "option or mutation" for syntax testing (IEEE, 2021, p. 15) or equivalence partition (p. 11; OG BS 7925-2; Myers 1979) |  |  | 
Ongoing Built-In Testing (Firesmith, 2015, p. 31) | Practice? |  | Built-In Testing (Firesmith, 2015, p. 31), Continuous Testing? | OBIT (Firesmith, 2015, p. 31) | 
Online MBT | Approach (Hamburg and Mogyorodi, 2024) | "Model-based test[ing] … whereby test cases are generated and executed simultaneously" (Hamburg and Mogyorodi, 2024) | Online Testing, Model-based Testing (Hamburg and Mogyorodi, 2024) | On-the-Fly MBT (Hamburg and Mogyorodi, 2024) | 
Online Testing | Practice? | Testing that "interacts with the real application environment" (Washizaki, 2024, p. 5-6), or testing "whereby test cases are generated and executed simultaneously" (Hamburg and Mogyorodi, 2024) |  | On-the-Fly Testing (implied by Hamburg and Mogyorodi, 2024) | 
OO Web Testing | Approach |  | Web Application Testing, Object-Oriented Testing, Structure-based Testing, Data Flow Testing, Functional Testing (Kam, 2008, Tab. 1) |  | 
Open Beta Testing (Firesmith, 2015, p. 58) | Level (inferred from beta testing), Type (implied by Firesmith, 2015, p. 58) |  | Beta Testing (Firesmith, 2015, pp. 39, 58) |  | 
Open Loop Testing (Control Flow) | Technique? |  | Loop Testing |  | Not explicitly described by a source (in the context of software control flows); implied by the potential "closed loop testing"
Open Loop Testing (Control Systems) | Technique? |  | Automated Testing (ideally; Preuße et al., 2012, p. 1), Safety Testing, Non-functional Testing (can be; p. 1), Correctness Testing (can be; p. 6) Model-based Testing (implied by Preuße et al., 2012), Domain-Specific Testing? | Sometimes spelled with a hyphen (Preuße et al.) | "Will cause serious problems if the system complexity exceeds the human imagination for thinking about and running test cases" since "all possible input information would have to be considered, regardless whether practically relevant" (Preuße et al., 2012, p. 4). See also Pierre et al., (2017; if in scope)
Open Source Testing (Firesmith, 2015, p. 34) | Approach, Practice? |  | Reuse Testing (Firesmith, 2015, p. 34) |  | 
Operational (Acceptance) Testing | Level (IEEE, 2022, p. 22; Firesmith, 2015, p. 30; inferred from acceptance testing) | "Test[ing] to determine the correct installation, configuration and operation of a module and that it operates securely in the operational environment" (ISO/IEC, 2018) or "evaluate a system or component in its operational environment" (IEEE, 2017, p. 303), particularly "to determine if operations and/or systems administration staff can accept [it]" (Hamburg and Mogyorodi, 2024) | Acceptance Testing (IEEE, 2022, p. 22; Hamburg and Mogyorodi, 2024; Firesmith, 2015, p. 30; LambdaTest, 2024), Non-functional Testing (LambdaTest, 2024), Reliability Testing (likely incorrectly) (Bourque and Fairley, 2014, p. 4-6) | "Operational testing" and "operational acceptance testing" are treated as synonyms in this glossary, although there is sometimes a distinction (Firesmith, 2015, p. 30). Production Acceptance Testing (Hamburg and Mogyorodi, 2024), OAT, OT (Firesmith, 2015, p. 30) | Ensured by the use of TDD and ATDD (Washizaki, 2024, p. 6-9)
Operational Effectiveness Testing | Level (Firesmith, 2015, p. 30; inferred from operational testing) |  | Operational Testing (Firesmith, 2015, p. 30) |  | 
Operational Profile Testing | Approach | "Testing using a model of system operations (short duration tasks) and their probability of typical use" (Kam, 2008, p. 46; OG Musa) | Statistical Testing (Kam, 2008, p. 46; OG Musa), Scenario Testing?, Usage-based Testing? |  | 
Operational Suitability Testing | Level (Firesmith, 2015, p. 30; inferred from operational testing) |  | Operational Testing (Firesmith, 2015, p. 30) |  | 
Operations Organization Testing (Firesmith, 2015, p. 37) | Practice? |  | Organization-based Testing (Firesmith, 2015, p. 37), Operational Testing? |  | 
Operator Testing (Firesmith, 2015, p. 39) | Practice? |  | Role-based Testing (Firesmith, 2015, p. 39) |  | 
Organization-based Testing | Practice? |  | Role-based Testing? | Role-based Testing? | 
Orthogonal Array Testing | Technique? |  |  | Pairwise Testing? | See Mandl 1985
OT Organization Testing (Firesmith, 2015, p. 37) | Practice? |  | Independent Test Organization Testing (Firesmith, 2015, p. 37), Operational Testing? (Firesmith, 2015, p. 30) |  | 
Outside-In Testing (Firesmith, 2015, p. 28) | Level? (inferred from integration testing) |  | Integration Testing? (see bottom-up and top-down testing) |  | 
Outsourced Testing | Practice? | "Testing performed by people who are not co-located with the project team and are not fellow employees" (Hamburg and Mogyorodi, 2024) | Independent Tester Testing? |  | Also mentioned by Firesmith (2015, p. 41)
Page Testing (Doğan et al., 2014, Tab. 13; OG Ricca and Tonella, 2001; 2002) | Technique? (inferred from control flow testing) | Testing in which "every page in the SUT is visited at least once" (Doğan et al., 2014, Tab. 13; OG Ricca and Tonella, 2001; 2002) | Web Application Testing (Doğan et al., 2014, Tab. 13), Control Flow Testing? |  | 
Pair Testing | Technique (Washizaki, 2024, p. 5-14) | Testing in which "two persons, e.g. two testers, a developer and a tester, or an end-user and a tester, working together to find defects" (Kam, 2008, p. 46); can be structured so that "one generates and runs the test cases[ and] the other observes and analyzes the testing process" (Washizaki, 2024, p. 5-14), and usually involves "shar[ing] one computer and trad[ing] control of it" (Kam, 2008, p. 46) | Ad Hoc Testing (Washizaki, 2024, p. 5-14), Group Testing (Firesmith, 2015, p. 36), Embedded Tester Testing (Firesmith, 2015, p. 39), Developer Testing (implied by Gerrard, 2000a, p. 11) |  | "Allows [for] generating test cases with broad and better test coverage" (Washizaki, 2024, p. 5-14). Related to buddy testing
Pairwise Integration Testing | Level (inferred from integration testing) | "Integration testing that targets pairs of components that work together as shown in a call graph" (Hamburg and Mogyorodi, 2024) | Integration Testing (Hamburg and Mogyorodi, 2024) |  | 
Pairwise Testing | Technique (IEEE, 2022, pp. 7, 22; 2021, p. 2, Fig. 2; Washizaki, 2024, p. 5-11; Hamburg and Mogyorodi, 2024) | Testing that covers "all possible pairs" of some set of "unique pairs of P-V pairs, where each P-V pair within the pair is for a different test item parameter" (IEEE, 2021, p. 16) | Combinatorial Testing (IEEE, 2022, pp. 7, 22; 2021, pp. 2, 16, Fig. 2; Washizaki, 2024, p. 5-11), Specification-Based Testing (IEEE, 2022, p. 7; Hamburg and Mogyorodi, 2024), Model-based Testing (IEEE, 2022, p. 13; 2021, p. 6), All Combinations Testing (p. 16), t-wise Testing | Sometimes spelled with a hyphen (IEEE, 2021, pp. 2, 16, Fig. 2), All Pairs Testing (p. 16), Orthogonal Array Testing (OAT) (Washizaki, 2024, p. 5-11; implied by IEEE, 2021, p. 17; OG Mandl 1985 - investigate further) | "The most popular form of combinatorial testing" (IEEE, 2022, p. 7). See ISO 29119-4
Partial Regression Testing (Firesmith, 2015, p. 34) | Approach |  | Regression Testing (Firesmith, 2015, p. 34) |  | 
Password Cracking | Approach | "Security attack[s] recovering secret passwords stored in a computer system or transmitted over a network" (Hamburg and Mogyorodi, 2024) | Security Attacks (Hamburg and Mogyorodi, 2024), Security Testing (implied by "transmitted over a network" in Hamburg and Mogyorodi, 2024), Network Admin Testing? |  | See NIST.IR.7298
Path Testing | Technique (Washizaki, 2024, p. 5-13; Kam, 2008, p. 46) | Testing that "aims to execute all entry-to-exit control flow paths in a SUT's control flow graph" (Washizaki, 2024, p. 5-13) | Control Flow Testing (Washizaki, 2024, p. 5-13; implied by Hamburg and Mogyorodi, 2024), Structure-based Testing (Sharma et al., 2021, Fig. 1; Kam, 2008, p. 46), Dynamic Testing, W-Model Testing (Gerrard, 2000a, Fig. 5) | All-Paths Testing? (van Vliet, 2000, p. 421), All Round-Trip Paths Testing? (Kam, 2008, p. 15) | "Exhaustive path testing is generally not feasible because of loops" (Washizaki, 2024, p. 5-13), the exponential increase of possible paths with more branches (van Vliet, 2000, p. 421), and the "significant problem" of infeasible paths (Washizaki, 2024, p. 5-5). The number of test cases should be at least "the number of linearly independent paths through a program's source code" (Washizaki, 2024, p. 4-2). Possibly involves "path analysis"
Patterns-based Testing | Technique (Firesmith, 2015, p. 46) |  |  |  | 
Peer Reviews | Approach | "Review[s] of work products performed by peers [with similar abilities (Hamburg and Mogyorodi, 2024)] during development of the work products to identify defects for removal" (Washizaki, 2024, p. 12-13; OG [14], might be IEEE, 2017, p. 317?) | Reviews (IEEE, 2017, p. 317; Washizaki, 2024, p. 12-13; Hamburg and Mogyorodi, 2024), Static Analysis? (Washizaki, 2024, p. 12-13) |  | "Often performed during development of the work products to identify defects for removal", "increase the quality of the work product", and "reduce cost by fixing defects as soon as possible" (IEEE, 2017, p. 317). Potentially a byproduct of pair programming (or else there is another type of "Pair Reviews") (Washizaki, 2024, p. 12-14). See ISO 20246
Penetration Testing | Type (inferred from security testing and implied by Firesmith, 2015, p. 57), Technique (Hamburg and Mogyorodi, 2024) | Testing that "tests a system in its final production environment" (Washizaki, 2024, p. 13-5) by "exploit[ing] security vulnerabilities (known or unknown) to gain unauthorized access" (Hamburg and Mogyorodi, 2024), such as "submit[ting] malformed, malicious and random data to [its] entry points" (Washizaki, 2024, p. 13-5) | Security Testing (Washizaki, 2024, p. 13-4; Firesmith, 2015, p. 57; Gerrard, 2000b, pp. 28-29; implied by Hamburg and Mogyorodi, 2024), Web Application Testing, Attacks (Gerrard, 2000b, p. 28), implied by Doğan et al., 2014, p. 194), Online Testing?, Operational Testing? | Ethical Hacking Testing (Washizaki, 2024, p. 13-4), Ethical Hacking (Gerrard, 2000b, p. 28) | Should be conducted by security experts (Washizaki, 2024, p. 13-5). Related to fuzz testing? (Washizaki, 2024, p. 13-5)
Performance Efficiency Testing | Type (inferred from performance testing) | Testing to evaluate the "capability of a product to perform its functions within specified time and throughput parameters and be efficient in the use of resources under specified conditions" (ISO/IEC, 2023a; similar but less specific in IEEE, 2017, p. 319) | Performance Testing (implied by IEEE, 2017, p. 319), Reliability Testing, Dependability Testing (if it exists) (ISO/IEC, 2023a), Efficiency Testing? |  | Resources can include devices, configurations, energy, or materials (ISO/IEC, 2023a). Related to the idea of "performance deficiency" (IEEE, 2017, p. 319)
